300 27562.8478447951 2.60627117915201 -41601.6758632974
400 27580.5533344231 2.60460385574231 -41552.5060483127
500 27595.7466523166 2.60316168994175 -41488.9872901333
600 27613.4264176097 2.60149484635381 -41435.4212958932
700 27628.2737309235 2.60011385322542 -41378.858368018
800 27648.7462793324 2.59820633760137 -41322.8162638809
900 27667.6894599257 2.59640049202335 -41265.8225601605
1000 27674.7589857605 2.59575590953776 -41203.9322580856
1100 27688.4384717812 2.59444966429817 -41153.8329273726
1200 27700.6635015683 2.59332561858654 -41088.0873113471
1300 27708.3549593399 2.59261145171922 -41034.2164592933
1400 27721.8556817382 2.59132982403115 -40981.1635392907
1500 27742.2204095446 2.58948038528045 -40919.3350588116
1600 27763.3393232332 2.58746086911413 -40858.740419569
1700 27790.0246970884 2.58498508057262 -40795.9303131552
1800 27798.3344066197 2.58422041416488 -40745.9704733139
1900 27810.454816388 2.58307324558576 -40698.0639049882
2000 27827.2213075803 2.58156822575181 -40620.2341818175
2100 27837.0491756985 2.58063815336083 -40580.3261779093
2200 27831.1896339696 2.58115959889488 -40494.3320159453
2300 27928.3043986811 2.57224627198696 -40453.9314163777
2400 27976.1163744695 2.56782230062903 -40383.6631756324
2500 28001.517182868 2.56544858403614 -40330.5912072329
2600 27993.7535213709 2.56621219823151 -40276.984432672
2700 27998.4367065994 2.56576897339865 -40206.7683365388
2800 27959.5607840089 2.5693927261231 -40138.5395389538
2900 27988.2442613069 2.56669198441416 -40075.6267475127
3000 28056.4914672968 2.56052423294227 -40002.7711790449
3100 28017.7736333042 2.5640229687564 -39949.0899709291
3200 28014.9784647866 2.56433113345616 -39846.9380302047
3300 27800.5096120399 2.58411777241264 -39785.0247350366
3400 27999.0635728282 2.56589884169989 -39686.4165610142
3500 27878.4701758012 2.57696302149856 -39611.6873227798
3600 27796.9557959867 2.58439954413858 -39550.9353673379
3700 27715.853201465 2.59203216489702 -39470.0006096528
3800 27601.6728256353 2.60270094056249 -39399.8436295915
3900 27640.9431433472 2.5991711894713 -39290.4482141749
4000 27824.7227233252 2.58191310778702 -39222.401017169
4100 27884.6876082739 2.57638991690566 -39166.2738702201
4200 27634.617736856 2.59971579013297 -39049.9709469662
4300 27515.5409279594 2.61104496790639 -38992.6914593627
4400 27633.4126532546 2.59965482627697 -38908.3008211315
4500 27445.949794751 2.61789147977257 -38803.2377778137
