# frames 31 (stride 5)  N 2160  L [30.40081735 30.50705776 35.207136  ]
# 직접 계산 (절단·창 없음). q(1/A)  S_N(q)  n_qvec
1.784634031737264703e-01 7.338175597096674441e-02 1.000000000000000000e+00
2.063182934189234374e-01 1.633043250828062898e-01 2.000000000000000000e+00
2.791220851231666078e-01 2.097045190190166275e-01 6.000000000000000000e+00
3.420291240431828084e-01 1.360718384181424379e-01 4.000000000000000000e+00
3.569268063474529407e-01 2.228117816760648573e-01 1.000000000000000000e+00
4.215213935586765714e-01 2.153644215668145678e-01 8.000000000000000000e+00
4.748413796101856876e-01 2.955057999237228894e-01 1.800000000000000000e+01
5.435481881295617379e-01 1.599781370450688578e-01 5.000000000000000000e+00
5.806107129133931677e-01 4.189568703128118687e-01 1.400000000000000000e+01
6.210338997466353650e-01 1.802208613595637499e-01 1.400000000000000000e+01
6.730509100575002845e-01 4.291105664407998677e-01 2.000000000000000000e+01
7.283822312661457632e-01 2.957734559643629413e-01 2.900000000000000000e+01
7.732824157440596480e-01 4.036594728481535110e-01 1.600000000000000000e+01
8.347144869683869040e-01 2.425044366668855922e-01 3.600000000000000000e+01
8.726252101019627005e-01 3.393186263763438015e-01 2.300000000000000000e+01
9.277922047771053338e-01 3.559879994132746917e-01 5.000000000000000000e+01
9.799400338544862477e-01 2.609421706008543951e-01 2.400000000000000000e+01
1.025698314581807935e+00 4.532287091654486066e-01 4.600000000000000000e+01
1.077220611964041730e+00 6.332459069028737453e-01 4.900000000000000000e+01
1.116848912151200635e+00 6.939200650568078110e-01 4.800000000000000000e+01
1.167882636558198239e+00 4.577432857879969452e-01 5.800000000000000000e+01
1.227582237319497782e+00 6.373971088188938872e-01 5.300000000000000000e+01
1.266428856239514511e+00 7.094927544178306622e-01 7.400000000000000000e+01
1.318317031712650911e+00 7.853937627686737866e-01 7.000000000000000000e+01
1.373681473390410357e+00 1.285334448383572248e+00 9.400000000000000000e+01
1.424733033107899338e+00 1.102726059188364527e+00 6.700000000000000000e+01
1.481154269008614577e+00 1.364266740123414090e+00 1.080000000000000000e+02
1.521708481317866068e+00 1.261008888375279913e+00 9.400000000000000000e+01
1.572625416853638658e+00 1.579214964054585169e+00 8.800000000000000000e+01
1.626170159100825519e+00 1.419566880395394248e+00 1.100000000000000000e+02
1.673687483433724976e+00 1.449068617982661289e+00 1.270000000000000000e+02
1.724707564326730891e+00 1.353793293382330010e+00 1.220000000000000000e+02
1.772384121316029404e+00 1.232922606630052043e+00 1.130000000000000000e+02
1.822877657960826570e+00 1.059598381231175779e+00 1.580000000000000000e+02
1.877184113127049248e+00 8.661207473864719342e-01 1.280000000000000000e+02
1.922968681181078221e+00 9.304708322735623094e-01 1.740000000000000000e+02
1.974782540507673767e+00 7.597276423222477648e-01 1.610000000000000000e+02
2.026013417500446945e+00 6.692883479846067907e-01 1.380000000000000000e+02
2.073142538341573360e+00 6.686066946481907802e-01 2.100000000000000000e+02
2.124052457183114750e+00 6.128247530302013413e-01 1.570000000000000000e+02
2.173464914213891319e+00 4.792708744995992642e-01 2.360000000000000000e+02
2.227586848393314778e+00 4.671536248667443325e-01 1.900000000000000000e+02
2.273420067166496583e+00 4.213557548741911907e-01 1.740000000000000000e+02
2.322575909191745058e+00 3.883799608848005902e-01 2.710000000000000000e+02
2.374714605791224731e+00 3.666436625363254653e-01 2.180000000000000000e+02
2.423601574566156547e+00 3.363102445657742412e-01 2.440000000000000000e+02
2.476185674902137368e+00 3.369309623154391198e-01 2.410000000000000000e+02
2.525138216486473297e+00 3.625430712252976084e-01 3.000000000000000000e+02
2.577414999269023177e+00 4.043227332578659960e-01 2.580000000000000000e+02
2.627859380034944348e+00 5.172434308599190844e-01 3.000000000000000000e+02
2.675476814793442237e+00 6.895760393750073325e-01 2.190000000000000000e+02
2.721666355992205855e+00 8.476324972255382395e-01 3.000000000000000000e+02
2.775974088902936288e+00 1.042117081026850745e+00 3.000000000000000000e+02
2.824558947389534058e+00 1.158485367126155463e+00 2.980000000000000000e+02
2.877463195929577999e+00 1.147569164690508403e+00 3.000000000000000000e+02
2.924419153805411842e+00 1.129455185864145728e+00 2.700000000000000000e+02
2.972457032931912213e+00 1.104439614070799491e+00 3.000000000000000000e+02
3.025398632554089140e+00 1.062647857409119379e+00 3.000000000000000000e+02
3.074327178668809779e+00 1.035212565555900355e+00 3.000000000000000000e+02
3.125922677557515073e+00 1.097435669237054601e+00 3.000000000000000000e+02
3.173270516048385836e+00 9.697459000998128742e-01 3.000000000000000000e+02
3.225391846500990312e+00 9.000568113508005119e-01 3.000000000000000000e+02
3.274960585251897260e+00 9.715836882161973387e-01 3.000000000000000000e+02
3.324444728042397212e+00 8.704609671454401898e-01 3.000000000000000000e+02
3.378005126859922047e+00 9.162746758945006231e-01 3.000000000000000000e+02
3.425124273050739632e+00 9.549531870542957712e-01 3.000000000000000000e+02
3.474393244256317015e+00 8.460299760802711955e-01 3.000000000000000000e+02
3.526183530048419001e+00 8.637577329386771918e-01 3.000000000000000000e+02
3.574042144891330430e+00 8.435328682950258283e-01 3.000000000000000000e+02
3.623917684526140714e+00 8.228788793313723815e-01 3.000000000000000000e+02
3.674914188949956806e+00 8.528629115687055284e-01 3.000000000000000000e+02
3.724183341615210807e+00 7.882949670794955344e-01 3.000000000000000000e+02
3.776135420831062017e+00 8.530880000888676484e-01 3.000000000000000000e+02
3.822409789659383605e+00 8.556762892400687770e-01 3.000000000000000000e+02
3.873211562949988362e+00 8.412039491441797301e-01 3.000000000000000000e+02
3.926946550943954062e+00 8.149037423979802464e-01 3.000000000000000000e+02
3.973732694137245947e+00 8.290294240767530631e-01 3.000000000000000000e+02
4.023770259911431779e+00 7.819291274377800915e-01 3.000000000000000000e+02
4.072411067535604445e+00 7.863592333988909111e-01 3.000000000000000000e+02
4.124703011903375405e+00 7.722271959666150432e-01 3.000000000000000000e+02
4.178036904100830284e+00 8.292559717824043997e-01 3.000000000000000000e+02
4.223332627509149617e+00 9.121098907903634201e-01 3.000000000000000000e+02
4.274069373089152357e+00 8.391869393314900227e-01 3.000000000000000000e+02
4.326229833261101554e+00 8.140392419947510838e-01 3.000000000000000000e+02
4.374960257648283779e+00 8.817185904383086914e-01 3.000000000000000000e+02
4.426133393495960355e+00 9.718469418849747798e-01 3.000000000000000000e+02
4.475796344857159603e+00 8.978740891007661595e-01 3.000000000000000000e+02
4.525121760179494856e+00 9.416439818899046132e-01 3.000000000000000000e+02
4.576568339965704446e+00 1.026550924220107630e+00 3.000000000000000000e+02
4.625347614201471558e+00 8.873288019633239765e-01 3.000000000000000000e+02
4.675321033044760988e+00 1.157782379979369614e+00 3.000000000000000000e+02
4.723687395706144265e+00 1.153790953307340050e+00 3.000000000000000000e+02
4.772615507416984038e+00 1.162007926712945727e+00 3.000000000000000000e+02
4.825475828112257837e+00 1.287037273643459878e+00 3.000000000000000000e+02
4.874672300833167604e+00 1.288130858809206636e+00 3.000000000000000000e+02
4.923936037489983875e+00 1.301781605096663963e+00 3.000000000000000000e+02
4.975589790224798747e+00 1.458716581786653643e+00 3.000000000000000000e+02
5.024280664923365336e+00 1.485923230962915564e+00 3.000000000000000000e+02
5.075851482763819256e+00 1.660253011442009763e+00 3.000000000000000000e+02
5.124544825322721486e+00 1.675595519037587522e+00 3.000000000000000000e+02
5.173832900591913031e+00 1.829883179886472755e+00 3.000000000000000000e+02
5.223093737478938792e+00 1.665481691848779588e+00 3.000000000000000000e+02
5.276889132344965816e+00 1.789709677881997196e+00 3.000000000000000000e+02
5.327318203353993198e+00 1.599878330266453874e+00 3.000000000000000000e+02
5.373279897250672121e+00 1.563074927773856482e+00 3.000000000000000000e+02
5.422839730960840932e+00 1.606834837712488584e+00 3.000000000000000000e+02
5.473703761223852382e+00 1.421032861675095349e+00 3.000000000000000000e+02
5.525776036606853125e+00 1.325401274131934537e+00 3.000000000000000000e+02
5.574752684369602029e+00 1.380972646242510038e+00 3.000000000000000000e+02
5.625852465108341249e+00 1.179786195802170257e+00 3.000000000000000000e+02
5.675266926604828122e+00 1.179176764085635432e+00 3.000000000000000000e+02
5.723985566985243523e+00 1.057878738119640838e+00 3.000000000000000000e+02
5.774610394443922878e+00 1.007851802784544004e+00 3.000000000000000000e+02
5.825490746008375353e+00 9.723147618250210789e-01 3.000000000000000000e+02
5.873746915762825260e+00 8.862400743601749342e-01 3.000000000000000000e+02
5.924318529055732974e+00 8.983171140913945862e-01 3.000000000000000000e+02
5.975837382590268199e+00 8.319092268797881884e-01 3.000000000000000000e+02
6.024676475073345472e+00 8.439700145961164246e-01 3.000000000000000000e+02
6.076209065528857423e+00 7.911899296395333847e-01 3.000000000000000000e+02
6.123031108257408484e+00 8.087497657605792201e-01 3.000000000000000000e+02
6.174084746721780981e+00 7.448811248363259585e-01 3.000000000000000000e+02
6.225540927031545380e+00 6.607118366571644863e-01 3.000000000000000000e+02
6.274297914298268886e+00 7.082708349525784763e-01 3.000000000000000000e+02
6.326883019904760097e+00 6.549739963958939315e-01 3.000000000000000000e+02
6.374135014571369773e+00 7.528263281335357826e-01 3.000000000000000000e+02
6.424633010409414702e+00 6.986785619972014638e-01 3.000000000000000000e+02
6.476382754488374083e+00 7.330246178258094103e-01 3.000000000000000000e+02
6.524245962823578715e+00 6.750210169613100053e-01 3.000000000000000000e+02
6.574259062703853296e+00 6.999345472038361882e-01 3.000000000000000000e+02
6.625999280298810135e+00 6.445261984129672106e-01 3.000000000000000000e+02
6.674413197636007489e+00 6.776236663791294079e-01 3.000000000000000000e+02
6.724479348614297969e+00 6.908400888944783436e-01 3.000000000000000000e+02
6.774354460967074054e+00 6.847069067721217595e-01 3.000000000000000000e+02
6.823772235501283312e+00 6.357925909506010331e-01 3.000000000000000000e+02
6.876673943747316109e+00 6.642891296112739541e-01 3.000000000000000000e+02
6.926082296246933723e+00 7.040606292049307324e-01 3.000000000000000000e+02
6.974839717096156022e+00 6.624316208994901478e-01 3.000000000000000000e+02
7.025904372805888087e+00 6.856071622684873912e-01 3.000000000000000000e+02
7.072856061872580646e+00 6.796442121098592581e-01 3.000000000000000000e+02
7.125048364812856860e+00 7.073455671619902629e-01 3.000000000000000000e+02
7.175776494460804678e+00 7.310960194039705096e-01 3.000000000000000000e+02
7.225737837017770282e+00 8.018625507413289499e-01 3.000000000000000000e+02
7.273966486572684076e+00 8.414800489339988587e-01 3.000000000000000000e+02
7.325973194786527642e+00 8.879788512222688279e-01 3.000000000000000000e+02
7.376107360397157642e+00 8.374630070932003179e-01 3.000000000000000000e+02
7.427021563775306312e+00 9.836595641164619375e-01 3.000000000000000000e+02
7.473244203195948288e+00 9.133499465565662057e-01 3.000000000000000000e+02
7.524855683142506635e+00 1.030074435126144383e+00 3.000000000000000000e+02
7.575595098591919374e+00 1.046059121204291342e+00 3.000000000000000000e+02
7.625100391992004845e+00 1.124255348132955135e+00 3.000000000000000000e+02
7.673894797222563291e+00 1.160754933403421285e+00 3.000000000000000000e+02
7.725061151394758241e+00 1.215162809393605992e+00 3.000000000000000000e+02
7.776371184242598211e+00 1.129978095589809106e+00 3.000000000000000000e+02
7.826311304729717477e+00 1.268358070943071958e+00 3.000000000000000000e+02
7.874462345075802006e+00 1.308521291410481791e+00 3.000000000000000000e+02
7.924049529648324430e+00 1.212127058000282087e+00 3.000000000000000000e+02
7.973660792310251821e+00 1.213919088078014186e+00 3.000000000000000000e+02
8.025278814145275774e+00 1.241317820077985301e+00 3.000000000000000000e+02
8.074407536065109525e+00 1.172357348669266219e+00 3.000000000000000000e+02
