# T_set(K)  PotEng(eV)  epa(eV/atom)  Press(bar)
4000 -18.6776216017991743 -26622.354022113035171
3900 -18.7090291423833186 -26037.720912200766179
3800 -18.719195806167292062 -24986.156826506598009
3700 -18.757793381234932895 -23465.903063583853509
3600 -18.775253663793847636 -23919.550765701249475
3500 -18.796848536743663516 -24981.703388551959506
3400 -18.814641638973498061 -25072.087629383433523
3300 -18.838416539449866605 -23948.448971266920125
3200 -18.863346275842626909 -21495.949001464177854
3100 -18.879563070570590355 -19869.545189472781203
3000 -18.895559123249459077 -18006.811294109927985
2900 -18.911516818527026373 -19844.748219130200596
2800 -18.928970304650228229 -20242.479292000349233
2700 -18.944969845586260959 -19802.43406907611643
2600 -18.956959307573512774 -19932.362217220448656
2500 -18.974476875731571823 -20190.348280328813416
2400 -18.988762636538474737 -19478.287677445376175
2300 -19.003609658890301404 -19708.859708774452884
2200 -19.016279945693010944 -19364.409371292225842
2100 -19.032041809583400749 -20534.665223934673122
2000 -19.045360979036036753 -20509.125795839103375
1900 -19.058735498774765915 -20326.503440493423113
1800 -19.0726642243232547 -20207.488841640002647
1700 -19.087414644385173546 -20407.266954812341282
1600 -19.100631202656181529 -21115.98768685635514
1500 -19.114722475587203832 -20544.78349174280811
1400 -19.127914457399551651 -20678.747390514708968
1300 -19.142220340998996164 -20361.784392855333863
1200 -19.155664316664278601 -20549.027645736070554
1100 -19.169130754317084353 -20422.963986210677831
1000 -19.181780762446017263 -20557.627658385707036
900 -19.195813520138678143 -20839.058190519121126
800 -19.208987157372430232 -20336.13512892692961
700 -19.22243850935164744 -20598.874007247432019
600 -19.235471106909006522 -21069.841614227356331
500 -19.249008534132077131 -20956.535743651755183
400 -19.261906551575606272 -21020.362116914639046
300 -19.275177512949547065 -21231.58558621625707
