# S4 E-V scan (BKS potential): prod_bks_2e13.data   tail=1
# grid f = 0.86..1.02 (9 pts), symmetric about expected V0 (f0 ~ 0.94)
# scale volume(A^3) density(g/cc) PE(eV) epa(eV) press(bar) maxf(eV/A)
 0.95096854 28081.1398102425 2.55816074220532 -41741.3902976331 -19.3247177303857 23015.1473871862 0.121643844353729
 0.95828397 28734.189564573 2.50002072609382 -41748.6396465998 -19.3280739104629 15863.2346198605 0.0922226614970444
 0.96548938 29387.2390368051 2.44446473413078 -41752.88455411 -19.3300391454213 7109.18545645869 0.144895926851187
 0.97258883 30040.2895734418 2.39132413432029 -41753.2735754316 -19.330219247885 322.571394173047 0.0685740781816161
 0.97958611 30693.3391095328 2.34044491551036 -41751.783998626 -19.3295296289935 -7771.52191880291 0.081239968675039
 0.98648483 31346.388780046 2.29168565358539 -41746.6340399543 -19.3271453888677 -15962.6381996123 0.0517895344003575
 0.99328839 31999.438676874 2.24491654945364 -41738.2252470607 -19.3232524291948 -25326.3617895421 0.0138584578906121
 1.00000000 32652.4882859543 2.20001822923377 -41725.9035538652 -19.3175479416042 -35134.2911350509 0.0622068926440043
 1.00662271 33305.5380953362 2.15688061406822 -41709.5541043258 -19.3099787520027 -45413.2110036013 0.0190389875220274
