# frames 151  V 32652.488  rho0 0.066151  nO 1440 nSi 720
# r  g_SiO  g_OO  g_SiSi  g_total(neutron)
1.000000000000000021e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.999999999999999889e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000666e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.999999999999999667e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.100000000000000006e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.300000000000000044e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.699999999999999845e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.900000000000000022e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.100000000000000200e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.299999999999999822e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.500000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.700000000000000178e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.900000000000000355e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.099999999999999978e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.300000000000000155e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.699999999999999956e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.900000000000000133e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.100000000000000311e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.299999999999999933e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.500000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.699999999999999734e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.899999999999999911e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.100000000000000089e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.300000000000000266e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.500000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.700000000000000622e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.899999999999999689e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.099999999999999867e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.300000000000000044e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.500000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.700000000000000400e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.900000000000000577e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.099999999999999645e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.299999999999999822e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.500000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.700000000000000178e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.900000000000000355e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.100000000000000533e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.300000000000000711e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.499999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.699999999999999956e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.900000000000000133e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.100000000000000311e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.300000000000000488e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.499999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.699999999999999734e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.899999999999999911e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.010000000000000009e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.030000000000000027e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.050000000000000044e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.070000000000000062e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.090000000000000080e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.110000000000000098e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.130000000000000115e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.149999999999999911e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.169999999999999929e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.189999999999999947e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.209999999999999964e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.229999999999999982e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.250000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.270000000000000018e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.290000000000000036e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.310000000000000053e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.330000000000000071e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.350000000000000089e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.370000000000000107e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.390000000000000124e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.410000000000000142e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.429999999999999938e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.449999999999999956e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.469999999999999973e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.489999999999999991e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.510000000000000009e+00 5.823318913944963184e-03 0.000000000000000000e+00 0.000000000000000000e+00 2.259408253253410940e-03
1.530000000000000027e+00 1.343571661461659961e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.212966944802575192e-02
1.550000000000000044e+00 1.079076204463131461e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.186742505918690793e-01
1.570000000000000062e+00 5.081032566869136957e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.971406183704331294e+00
1.590000000000000080e+00 1.430039246462157010e+01 0.000000000000000000e+00 0.000000000000000000e+00 5.548455311618921471e+00
1.610000000000000098e+00 2.577683146446295837e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.000123582688609858e+01
1.630000000000000115e+00 3.113916852662083201e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.208178624736074447e+01
1.650000000000000133e+00 2.659939229800218286e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.032038385287708948e+01
1.669999999999999929e+00 1.703251408693654412e+01 0.000000000000000000e+00 0.000000000000000000e+00 6.608499975765387724e+00
1.689999999999999947e+00 8.483387548966719649e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.291496846889637062e+00
1.709999999999999964e+00 3.402193420085725339e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.320027978220185583e+00
1.729999999999999982e+00 1.169550168817935054e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.537775352974832699e-01
1.750000000000000000e+00 3.864096066083287928e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.499243072909115237e-01
1.770000000000000018e+00 1.438327498970093377e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.580613169359866649e-02
1.790000000000000036e+00 7.588676598959090414e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.944355064927024757e-02
1.810000000000000053e+00 4.306220444023772104e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.670784333699611157e-02
1.830000000000000071e+00 2.998386940745459764e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.163353802269803845e-02
1.850000000000000089e+00 2.061009320184993207e-02 0.000000000000000000e+00 0.000000000000000000e+00 7.996576414365661606e-03
1.870000000000000107e+00 1.257758159282781028e-02 0.000000000000000000e+00 0.000000000000000000e+00 4.880016374983634463e-03
1.890000000000000124e+00 4.646338797796082526e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.802747948770716665e-03
1.910000000000000142e+00 3.867111317306619247e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.500412969938679083e-03
1.929999999999999938e+00 1.559509083965364548e-03 0.000000000000000000e+00 0.000000000000000000e+00 6.050789502352700230e-04
1.949999999999999956e+00 2.182404578515107169e-04 0.000000000000000000e+00 0.000000000000000000e+00 8.467581785409439646e-05
1.969999999999999973e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.989999999999999991e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.009999999999999787e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.030000000000000249e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.049999999999999822e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.070000000000000284e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.089999999999999858e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.110000000000000320e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.129999999999999893e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.150000000000000355e+00 0.000000000000000000e+00 1.795260878270133235e-04 0.000000000000000000e+00 9.742050384285388487e-05
2.169999999999999929e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.190000000000000391e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.209999999999999964e+00 0.000000000000000000e+00 1.699103910608647391e-04 0.000000000000000000e+00 9.220250998415106922e-05
2.230000000000000426e+00 0.000000000000000000e+00 3.337526758955012825e-04 1.335010703582005130e-03 2.736991845080036256e-04
2.250000000000000000e+00 0.000000000000000000e+00 2.130996826221195645e-03 1.311382662289966618e-03 1.247341776550985959e-03
2.270000000000000462e+00 0.000000000000000000e+00 3.059893939068681484e-03 1.932564593096009484e-03 1.794492126021705620e-03
2.290000000000000036e+00 0.000000000000000000e+00 5.380373675813306285e-03 2.531940553323908712e-03 3.095277687246137614e-03
2.310000000000000053e+00 0.000000000000000000e+00 9.175559138292346123e-03 9.953148895774749719e-03 5.669432618336102229e-03
2.330000000000000071e+00 0.000000000000000000e+00 1.192304676757147998e-02 1.161732761968503266e-02 7.275782915669938046e-03
2.349999999999999645e+00 0.000000000000000000e+00 2.208951075131088126e-02 2.103762928696274390e-02 1.344597918618737134e-02
2.370000000000000107e+00 0.000000000000000000e+00 3.516290536654167326e-02 2.068406198031863194e-02 2.051578476489818864e-02
2.389999999999999680e+00 0.000000000000000000e+00 6.726508199679821776e-02 8.135733459655940941e-03 3.706588645149453548e-02
2.410000000000000142e+00 0.000000000000000000e+00 1.274486548362613325e-01 7.429742210185637588e-03 6.967576498994620948e-02
2.429999999999999716e+00 0.000000000000000000e+00 2.289354377647414840e-01 2.248598529303783618e-03 1.243886197473906829e-01
2.450000000000000178e+00 1.382522850446262798e-04 4.236050013767349576e-01 1.659027420535515466e-03 2.300395398367273136e-01
2.469999999999999751e+00 2.720448920586699196e-04 7.312566698537047438e-01 0.000000000000000000e+00 3.969247218560955082e-01
2.490000000000000213e+00 4.015383659845983165e-04 1.156430494035643131e+00 5.353844879794644220e-04 6.277342628551012549e-01
2.509999999999999787e+00 6.586080704912378268e-04 1.745311386801780440e+00 0.000000000000000000e+00 9.473552952996062704e-01
2.530000000000000249e+00 7.778837422678397959e-04 2.448389078788025586e+00 0.000000000000000000e+00 1.328929315870585048e+00
2.549999999999999822e+00 2.297188487142891051e-03 3.306037097746477471e+00 0.000000000000000000e+00 1.794924704990408459e+00
2.570000000000000284e+00 1.382072817269612043e-03 4.196350002180706973e+00 0.000000000000000000e+00 2.277701277921884593e+00
2.589999999999999858e+00 1.731940605197473905e-03 5.088565208113406513e+00 2.969041037481383837e-03 2.762206858898852868e+00
2.610000000000000320e+00 2.314605992076894554e-03 5.811975646105082660e+00 3.898283776129506800e-03 3.155058758103423511e+00
2.629999999999999893e+00 3.239341642422179871e-03 6.402378792822859488e+00 7.678439448704426490e-03 3.476064193026322968e+00
2.650000000000000355e+00 3.781487919027669981e-03 6.545873759334366326e+00 1.701669563562451318e-02 3.554790259453957990e+00
2.669999999999999929e+00 5.238349583262020930e-03 6.505564551337362111e+00 3.119728196253825775e-02 3.534465035944212463e+00
2.690000000000000391e+00 8.142509529941020785e-03 6.163765030932536249e+00 4.082723088252117327e-02 3.350780906796270386e+00
2.709999999999999964e+00 8.813745536753151907e-03 5.561812423904190616e+00 6.599009478799795769e-02 3.026134626439888287e+00
2.730000000000000426e+00 9.353162479350455097e-03 4.848612620991851863e+00 9.085929265654728304e-02 2.641048127107855414e+00
2.750000000000000000e+00 1.316801598910999523e-02 4.058382527843700238e+00 1.404588372171732824e-01 2.217146824116832171e+00
2.770000000000000462e+00 1.654765201814130740e-02 3.223980124240354517e+00 2.150113216474831557e-01 1.770836952142620158e+00
2.790000000000000036e+00 2.036242264709478902e-02 2.518863664308421679e+00 2.899779560214545415e-01 1.394882133477727049e+00
2.810000000000000053e+00 2.396220029426225986e-02 1.915084270886170614e+00 4.094593523966919002e-01 1.076922071501248857e+00
2.830000000000000071e+00 2.797662875859353165e-02 1.399349523647428262e+00 5.736245066947177618e-01 8.099996024510083270e-01
2.849999999999999645e+00 3.156990290710178643e-02 1.020147186172852161e+00 8.059009518809672201e-01 6.217272766173443932e-01
2.870000000000000107e+00 4.160933213040009238e-02 7.586398812152850279e-01 1.028848667592362487e+00 4.991766896709404211e-01
2.889999999999999680e+00 5.107071290620442128e-02 5.572073112412342377e-01 1.287697352654492811e+00 4.114914449634590188e-01
2.910000000000000142e+00 5.301707625918208183e-02 4.176687227664215296e-01 1.682434686169386406e+00 3.639017155908418899e-01
2.929999999999999716e+00 5.645235880820229785e-02 3.442240577328910534e-01 1.935233259144195195e+00 3.429119078925176867e-01
2.950000000000000178e+00 7.275871038989047135e-02 2.979006700629329152e-01 2.270682060031548932e+00 3.473654946446174119e-01
2.969999999999999751e+00 8.344786081347568829e-02 2.743336664397915681e-01 2.662428930125549265e+00 3.658929244641756506e-01
2.990000000000000213e+00 9.607324503245849578e-02 2.568450908259059529e-01 3.051694689552758799e+00 3.882980090322496469e-01
3.009999999999999787e+00 1.054257791269859329e-01 2.601296374636316577e-01 3.361168019846981991e+00 4.151720153306275862e-01
3.030000000000000249e+00 1.241051394924296281e-01 2.674632977116527810e-01 3.720080932957344100e+00 4.512908188011873767e-01
3.049999999999999822e+00 1.397892595878784394e-01 2.777051468392249811e-01 4.110714155589941576e+00 4.900255287039730900e-01
3.070000000000000284e+00 1.532064269441418825e-01 2.922368569124177418e-01 4.372194446171441484e+00 5.212514375027718083e-01
3.089999999999999858e+00 1.774774849741743710e-01 3.034152301884636138e-01 4.646398798589305379e+00 5.557513338330530850e-01
3.110000000000000320e+00 2.088354789493717945e-01 3.081052608492991229e-01 4.826381824921964991e+00 5.829454548389190194e-01
3.129999999999999893e+00 2.321800216014446305e-01 3.287452257698674218e-01 4.998689323146461305e+00 6.151533814463363559e-01
3.150000000000000355e+00 2.524913429498347184e-01 3.480014832773309363e-01 4.996301036046083333e+00 6.333178816932871769e-01
3.169999999999999929e+00 2.826785542871164680e-01 3.560114658287347189e-01 4.961533024122102731e+00 6.469656948576818500e-01
3.190000000000000391e+00 3.262809154059470029e-01 3.734982735714164614e-01 4.628442797995482749e+00 6.502715786547874632e-01
3.209999999999999964e+00 3.481606283962826454e-01 3.915699688324603689e-01 4.144746375152970508e+00 6.350216167206431672e-01
3.230000000000000426e+00 3.922242531198611992e-01 3.864971904095326760e-01 3.385648572255886002e+00 5.967195050365462494e-01
3.250000000000000000e+00 4.267735801377862126e-01 4.054034745049662769e-01 2.569440936087290073e+00 5.637774981156215004e-01
3.270000000000000462e+00 4.486544202421713923e-01 4.259151458725197181e-01 1.756123892274667586e+00 5.269918449418055095e-01
3.290000000000000036e+00 5.029404086096048720e-01 4.433695705776439788e-01 1.122109118964965901e+00 5.135553000026006343e-01
3.310000000000000497e+00 5.303598091971180040e-01 4.421179957560094076e-01 6.259487950878296347e-01 4.891044450479056227e-01
3.330000000000000071e+00 5.794624243352360926e-01 4.603220162838741469e-01 3.250916661903998084e-01 4.971690514591668442e-01
3.349999999999999645e+00 6.258052664483731986e-01 4.630500506321296172e-01 1.632728380382852396e-01 5.054075110431207607e-01
3.370000000000000107e+00 6.661877459269719415e-01 4.778108665807249689e-01 7.394778972009384554e-02 5.228906880423160874e-01
3.389999999999999680e+00 7.135197351421439516e-01 4.771721900434456876e-01 3.321719240617206775e-02 5.380838081325043376e-01
3.410000000000000142e+00 7.636238894135715105e-01 5.001379642065709730e-01 1.541521122554499398e-02 5.687517221687867774e-01
3.429999999999999716e+00 8.173813668862908166e-01 5.063842624160063144e-01 4.796507848487036041e-03 5.922623967213792584e-01
3.450000000000000178e+00 8.600138601968372321e-01 5.147533303472435762e-01 4.741057356577618905e-03 6.133411754468892640e-01
3.469999999999999751e+00 8.965808342244869777e-01 5.259288451047013924e-01 4.962243067427401198e-03 6.336086882584581748e-01
3.490000000000000213e+00 9.588952771289003252e-01 5.412437176006809070e-01 7.630827841298623397e-03 6.662820169445358154e-01
3.509999999999999787e+00 1.036642174794675908e+00 5.272123653098069740e-01 1.077730656056843060e-02 6.890513380578667801e-01
3.530000000000000249e+00 1.083401019113278130e+00 5.364393415882380278e-01 1.012275355945526679e-02 7.121551105950453264e-01
3.549999999999999822e+00 1.117980709475478118e+00 5.582660180782837989e-01 1.448673318910385054e-02 7.377187789545562868e-01
3.570000000000000284e+00 1.180760091435634207e+00 5.566514845970683689e-01 1.927346349757073571e-02 7.615325951145667238e-01
3.589999999999999858e+00 1.228553178971721893e+00 5.574849802692436462e-01 2.086222379385942877e-02 7.806384739121665639e-01
3.610000000000000320e+00 1.249109570420033899e+00 5.567376108371919763e-01 2.165055332090189480e-02 7.882633246351636869e-01
