# n_ring  count  fraction_triplet  fraction_distinct
3 81 0.018544 0.034136
4 467 0.106914 0.147607
5 1220 0.279304 0.308489
6 1540 0.352564 0.324503
7 803 0.183837 0.145033
8 236 0.054029 0.037297
9 20 0.004579 0.002810
10 1 0.000229 0.000126
