# n_ring  count  fraction_triplet  fraction_distinct
3 72 0.016537 0.030663
4 454 0.104272 0.145011
5 1202 0.276068 0.307142
6 1464 0.336243 0.311742
7 884 0.203032 0.161346
8 261 0.059945 0.041683
9 17 0.003904 0.002413
