# n_ring  count  fraction_triplet  fraction_distinct
3 69 0.015924 0.029482
4 485 0.111932 0.155424
5 1233 0.284560 0.316103
6 1285 0.296561 0.274528
7 997 0.230095 0.182571
8 241 0.055620 0.038616
9 23 0.005308 0.003276
