# n_ring  count  fraction_triplet  fraction_distinct
3 81 0.018587 0.034278
4 485 0.111290 0.153934
5 1216 0.279027 0.308757
6 1397 0.320560 0.295596
7 914 0.209729 0.165768
8 243 0.055760 0.038563
9 22 0.005048 0.003103
