# angle(deg)  O-Si-O_LES  O-Si-O_HES  Si-O-Si_LES  Si-O-Si_HES   [Dechant JPCC2026 Fig.4, colour-digitized, area-normalised]
6.000000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.100000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.200000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.300000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.400000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.500000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.600000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.700000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.800000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.900000000000000000e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+01 0.000000000000000000e+00 2.804035006374172427e-04 0.000000000000000000e+00 0.000000000000000000e+00
7.100000000000000000e+01 0.000000000000000000e+00 2.804035006374172427e-04 0.000000000000000000e+00 0.000000000000000000e+00
7.200000000000000000e+01 2.795604067914541323e-04 2.804035006374172427e-04 0.000000000000000000e+00 0.000000000000000000e+00
7.300000000000000000e+01 2.795604067914541323e-04 2.804035006374172427e-04 0.000000000000000000e+00 0.000000000000000000e+00
7.400000000000000000e+01 2.795604067914541323e-04 2.804035006374172427e-04 0.000000000000000000e+00 0.000000000000000000e+00
7.500000000000000000e+01 2.795604067914541323e-04 2.804035006374172427e-04 0.000000000000000000e+00 0.000000000000000000e+00
7.600000000000000000e+01 2.795604067914541323e-04 2.804035006374172427e-04 0.000000000000000000e+00 0.000000000000000000e+00
7.700000000000000000e+01 2.795604067914541323e-04 2.804035006374172427e-04 0.000000000000000000e+00 0.000000000000000000e+00
