# n_ring  count  fraction_triplet  fraction_distinct
3 168 0.039170 0.071656
4 487 0.113546 0.155788
5 970 0.226160 0.248237
6 1484 0.346001 0.316481
7 857 0.199813 0.156656
8 296 0.069014 0.047344
9 27 0.006295 0.003839
