# n_ring  count  fraction_triplet  fraction_distinct
3 45 0.010342 0.019136
4 463 0.106412 0.147663
5 1278 0.293726 0.326070
6 1488 0.341990 0.316374
7 848 0.194898 0.154542
8 212 0.048724 0.033806
9 17 0.003907 0.002410
