# King ring, distinct fraction.
# BKS = **matched quench rate 2e13, 3 independent seeds** (90210/90211/90212).
#   -> BKSsd is the MEASURED run-to-run scatter (not an estimate from mixed rates).
# err = Poisson(7net) (+) measured BKS sd.  NOT double-counted:
#   the 3-seed sd already contains counting noise, so no Poisson is added on the BKS side.
#   7net has 1 seed -> only counting error; its true uncertainty is LARGER than shown.
# p = two-sided t-test, 2 dof, prediction interval sd*sqrt(1+1/3). **Prefer p over sigma**
#   -- with n=3 the sd itself is uncertain, so 'N sigma' reads as overconfident.
# other rates (5e12, 5e13, 5e12*) are plotted as dots, not in the bar. See NOTE 'S4 analysis 19'.
#   n    7net%  BKSmean%   BKSsd%  otherLo%  otherHi%   diff%p   err%p  sigma       p
  3     7.17      2.76     0.77      1.80      3.43     4.41    1.23    3.6   0.038
  4    15.58     15.02     0.45     14.24     15.39     0.56    1.48    0.4   0.397
  5    24.82     31.69     0.88     29.97     30.88    -6.87    1.99    3.5   0.021
  6    31.65     30.51     2.68     29.56     35.69     1.13    3.35    0.3   0.749
  7    15.67     16.07     1.95     14.83     16.58    -0.41    2.41    0.2   0.874
  8     4.73      3.66     0.25      3.34      4.17     1.08    0.82    1.3   0.064
  9     0.38      0.28     0.04      0.13      0.31     0.10    0.23    0.4   0.182

# mean ring size (distinct):  7net 5.488   BKS mean 5.542
