# T_set(K)  epa(eV/atom)  Press(bar)  MSD(A^2)
4000 -18.681879155125763248 -24336.304502130227775 14.553059779112704319
3900 -18.702056184347167545 -23557.114909286945476 27.147332840030152568
3800 -18.727934007848546116 -24368.071523105547385 37.096120583564314188
3700 -18.749774670842430879 -24182.34805434982627 44.1748653681588479
3600 -18.776310641369015286 -23185.039102669616113 49.285281759978040839
3500 -18.80262206403034142 -21379.243467762855289 51.215084544814217793
3400 -18.816502846712364061 -20851.493078135445103 52.737112699310280561
3300 -18.839689809808582766 -23752.942059698823869 54.450111322071563791
3200 -18.857862304737079029 -25643.591565596074361 55.57100743977753865
3100 -18.874774296714925015 -26699.959018868539715 56.218643751122563401
3000 -18.89111647030269836 -24357.427167167879816 56.476135286003049885
2900 -18.912907083153349674 -22899.240403843163222 56.986945544560654753
2800 -18.928675230531876394 -22286.697768212008668 57.016873916949080581
2700 -18.943717541331889009 -22398.557270762685221 57.037422926863442285
2600 -18.958459910140501137 -22289.830520065352175 57.04627541819076697
2500 -18.973361094531870918 -22378.284467033510737 57.037108328456348261
2400 -18.988427474084666358 -22381.002215741460532 56.984319775489190363
2300 -19.002840724991731491 -22629.199951776765374 57.001435496106104495
2200 -19.016862777368114479 -22857.019594458506617 57.036350959940214977
2100 -19.030169751108019227 -22611.192062870715745 57.015536598220570852
2000 -19.044605749461705813 -23196.466184942979453 57.04072307799499697
1900 -19.058646911187057782 -22932.437248492249637 57.017612199698675113
1800 -19.072507089165405603 -23274.751236560747202 57.034128223423245174
1700 -19.086652762394152205 -23586.158712081432896 57.043051534866208385
1600 -19.10048175690125305 -23421.154652572357008 57.007296187155404255
1500 -19.114328697143307068 -23312.989883259691851 57.010244888653161865
1400 -19.128221131138527511 -23030.962701525335433 57.009991645256505421
1300 -19.141861670612669855 -23506.566188287117257 57.020230206161741648
1200 -19.154820741458721045 -23413.607753238567966 56.982969020930291038
1100 -19.168658212491973103 -23680.149743579222559 57.00221335205376505
1000 -19.182255193025007145 -23315.755835964318976 56.999978686023872854
900 -19.195294754437814078 -23467.854723471260513 56.988437682069154278
800 -19.208707898454012053 -23379.995483517199318 56.979582294640771067
700 -19.222179331057056118 -23447.861647921625263 56.973795377259072836
600 -19.235200409223253359 -23555.833039338551316 56.962624871537840932
500 -19.248653932173784398 -23530.068283037831861 56.954683975265318452
400 -19.261703751665208983 -23602.658798545322497 56.946586383325104919
300 -19.27470073574292897 -23570.657240156480839 56.93670509847710548
