# T_set(K)  epa(eV/atom)  Press(bar)  MSD(A^2)
4000 -18.677749535798202629 -24213.889232872574212 21.861480203529520594
3900 -18.706505596786708878 -24248.766975651724351 47.395546242078260946
3800 -18.727315751167814994 -24322.261808184033725 65.189427577802689484
3700 -18.761289709123452951 -21916.771827072007 77.818395940004180034
3600 -18.782042687940585068 -24320.731586137273553 84.950936725851420306
3500 -18.804917287438389195 -26954.305503525640233 89.66124894656056199
3400 -18.826161904599310049 -25117.572391007775877 92.784967058564404851
3300 -18.843073479985967822 -22619.351187325002684 94.635336027509225687
3200 -18.857403147082997918 -24680.686359329149127 96.172053973666578486
3100 -18.876050027387240249 -22412.12686941015636 97.686040983475450616
3000 -18.893743347439929892 -23845.667361935564259 98.274345625238126445
2900 -18.912474828775717839 -27460.003340367002238 99.002958723813520692
2800 -18.92901772027209617 -27646.11576636637983 99.216856605359694754
2700 -18.947041360365254548 -26513.58864304384042 99.624191062321742152
2600 -18.963583853552485436 -26559.465689808428579 99.651293633604339561
2500 -18.978586089310162777 -26074.835374673002661 99.675093531102376687
2400 -18.992764672629569134 -26285.333067539937474 99.66122784755327757
2300 -19.00726775689495085 -26672.7068116783812 99.680793934364274378
2200 -19.022426933111791669 -27011.147221169285331 99.670027332001168929
2100 -19.035831336179761308 -26938.076365079461539 99.664307675096736716
2000 -19.049873493014786163 -27073.422251133502868 99.692599617974465787
1900 -19.064303997772167776 -26988.736506263314368 99.683125981291439643
1800 -19.07767517230371368 -27198.101038860651897 99.675682590939828742
1700 -19.091687094578791317 -27325.698786563563772 99.672385227661706608
1600 -19.105600229815536295 -27586.538222767609113 99.672252281184043454
1500 -19.119290210230889926 -27725.779932013138023 99.666964613463179035
1400 -19.132913982794228502 -27720.570562125361903 99.658010557464933754
1300 -19.14634772860925338 -27826.659789628196449 99.659926439216150129
1200 -19.160204051567532701 -28067.064529565544944 99.652699187215787902
1100 -19.173649337735927389 -28243.277727475524443 99.649929254016385016
1000 -19.187152432648744593 -28123.624939423472824 99.64342684542157258
900 -19.200662802803485363 -28232.657525988863199 99.637342569588568608
800 -19.213873126002965819 -28374.529203303296526 99.634626067233710955
700 -19.227224498113930196 -28505.763504792495951 99.632993776496505234
600 -19.240454607748564086 -28467.60537747593844 99.625952938087607436
500 -19.253591671953543596 -28714.182082021470706 99.621591206963373111
400 -19.266766748162797995 -28800.75887214740942 99.622220683721025125
300 -19.27988874949024023 -28883.137750946203596 99.617495981962818519
