# T_set(K)  epa(eV/atom)  Press(bar)  MSD(A^2)
4000 -18.679427972304953443 -24949.389668948926555 8.6883669147285047529
3900 -18.686792776143349215 -27205.178076930096722 9.9665425307014832157
3800 -18.709743408903456441 -23725.410846591417794 11.204118312034569982
3700 -18.732425069641994497 -25859.960195285817463 11.785228951766768546
3600 -18.762596707497586124 -26220.700837326556211 12.273891418158729749
3500 -18.778122286165476851 -26582.597421981026855 12.815625381260758786
3400 -18.802972591141330128 -27725.232271618373488 13.152084798025070356
3300 -18.82326227773910432 -28600.914645688160817 13.347097321475386522
3200 -18.839940563918474936 -27020.544049291809642 13.604079001722771736
3100 -18.856645213119438864 -27877.14127642987296 13.755999509318284524
3000 -18.876032633594657995 -26946.995826360664068 13.937194193031706035
2900 -18.88926159110228653 -27613.304714262823836 14.077956092599986704
2800 -18.905745673209711555 -28600.01316778598266 14.022334363368305077
2700 -18.922248588938572311 -28375.642759130889317 14.026248922756572313
2600 -18.939522424067522621 -27447.18969474043115 14.067644808380848076
2500 -18.954578977929099182 -27221.091201073573757 14.073934570549544887
2400 -18.969942533115997207 -27174.64884643998812 14.057112861588970887
2300 -18.981819607801313055 -28101.339225914412964 14.086442460621730888
2200 -18.996976075828762021 -28446.670362627515715 14.09080853437832026
2100 -19.012376399175781927 -28005.292206343659927 14.047752403086830597
2000 -19.026563347340655241 -28291.855647809785296 14.043101365397699709
1900 -19.041661998345574602 -28350.485434823815012 14.026954080172107098
1800 -19.055956549831037705 -27727.223345994916599 14.024981414426669346
1700 -19.069382771518629482 -28044.249293632154149 14.016272484795690545
1600 -19.082765607502878424 -28509.962436379038991 14.013578840728360575
1500 -19.097703110509588242 -27732.005968927551294 13.997250015580457116
1400 -19.110819739798618144 -28850.836301576226106 13.980821866841591117
1300 -19.126153458524854045 -28760.09340326086749 13.982428373944175704
1200 -19.138988063292664776 -29700.484882369499246 13.974243230517082281
1100 -19.152618072900192914 -28968.882718755681708 13.970846141815366437
1000 -19.165822267140189439 -29154.07875264183167 13.962674809117807229
900 -19.179408407582148044 -29584.038681446221744 13.956969452737212123
800 -19.192908841564552347 -29952.863324111622205 13.955743121275547836
700 -19.206272472222806869 -29961.723330742992403 13.95092029378695031
600 -19.219876787819409003 -30335.71765788074481 13.939037011028752033
500 -19.232770612804696242 -30022.542521305214905 13.935959689702526632
400 -19.245943587448159917 -30170.389028408575541 13.931502464087333948
300 -19.259042687191151089 -30701.209360483568162 13.926690833643320389
