# T_set(K)  epa(eV/atom)  Press(bar)  MSD(A^2)
4000 -18.681044211431196089 -24745.586215128310869 9.2719819277156130255
3900 -18.69808790551408606 -23695.507975634085597 11.715214919860862608
3800 -18.719806907325761358 -23482.117986266122898 14.152418812775646728
3700 -18.743666499861884489 -23547.727460593661817 15.954552242606290235
3600 -18.770013822618086152 -20470.398474683213863 17.312456171789190051
3500 -18.789223378020995625 -21243.87258486459541 17.936296244723376248
3400 -18.808943221342914853 -25229.914955185242434 18.720669205797182855
3300 -18.824040569815586821 -25235.207160919475427 19.037567626099100693
3200 -18.841885957898490744 -23555.091484705597395 19.350707694373138423
3100 -18.864365388880916186 -24433.585299227583164 19.629435023600944277
3000 -18.880120950082005749 -22041.781296826953621 19.727831146096477255
2900 -18.895781320442338824 -21011.459608164979727 19.868585203774912884
2800 -18.91218298485082272 -20784.292530746770353 19.96621339071596779
2700 -18.928240858721501638 -21334.167386973786051 20.028640140966540883
2600 -18.942648075376830263 -22146.375306363137497 20.016080167177705107
2500 -18.957415152384204049 -21566.225448860655888 20.044612285075697145
2400 -18.971996308448254354 -22312.624538765052421 20.026088096558684271
2300 -18.989158016973917142 -21931.89049707500817 20.018036591990465922
2200 -19.002149968394437707 -22087.70499767639194 20.014443911415987998
2100 -19.017392049365401618 -21899.512088546347513 20.008141761092371524
2000 -19.03083210812838999 -22505.742700243470608 20.002949161778733611
1900 -19.045697802490259676 -22536.306565124654298 20.008936638762133242
1800 -19.059215606611445537 -22365.936616143091669 20.005073587229052379
1700 -19.072486668019973166 -22336.978014409556636 20.002167159881977909
1600 -19.087181489038989923 -22358.781882447041426 19.986882365128170846
1500 -19.100131987738446782 -22631.978785768478701 19.989047990656846565
1400 -19.113807569567121902 -22320.498113726294832 19.975560070440245397
1300 -19.127010824993828209 -22511.674114203200588 19.974079264111061605
1200 -19.141581263456096451 -22704.61812077282957 19.964563909343720383
1100 -19.15431161736353971 -22950.893920683520264 19.959543749259285761
1000 -19.168316032993260478 -23153.44088905706667 19.958893619039244527
900 -19.181208614490348197 -22977.979988174418395 19.945768246637282317
800 -19.19471115030358277 -23237.352092549906956 19.946275113969502257
700 -19.207728123008518395 -23047.84669743449922 19.939346700413945968
600 -19.221369686296657875 -23159.678739531420433 19.933620982364935514
500 -19.234528127355620342 -23342.697266501894774 19.929458479618201494
400 -19.247832028559727746 -23101.687585095125542 19.923235480544295939
300 -19.260845287830612449 -23370.551935453899205 19.915574066423211264
