# T_set(K)  epa(eV/atom)  Press(bar)  MSD(A^2)
4000 -18.687656385644679347 -26828.440221287404711 8.1010829402278226041
3900 -18.69894507265798822 -23558.190453206207167 8.2311342900479456119
3800 -18.713986102740364004 -24966.132214956403914 8.3098143919074978214
3700 -18.732756614938370632 -21968.850081022828817 8.3168975536481362099
3600 -18.746425392134309362 -19293.059075619141367 8.2966639720389316892
3500 -18.77005926877445674 -23528.009939821768057 8.3879703403517229532
3400 -18.791712218801549739 -23304.882988218858372 8.4220064068574149729
3300 -18.796340189114637553 -24505.089548853640736 8.523222322353564806
3200 -18.814583743505249203 -24791.699128832911811 8.5559191823846951763
3100 -18.831123104222587727 -25445.011402069390897 8.6408808791510587355
3000 -18.849729324148910337 -24557.798726081178756 8.6047525822869666001
2900 -18.865353204706167389 -25376.763718175046961 8.5455206824693270562
2800 -18.877441018997821232 -25120.236026851092902 8.6240754938733488189
2700 -18.896829459772739312 -24400.63779288072692 8.6345777440552033966
2600 -18.91796546128034251 -22667.420319282733544 8.6484396569721671
2500 -18.927925713926832429 -25435.432198012334993 8.5896983068098755609
2400 -18.942381681067800514 -25204.067490403278498 8.5449578462316857497
2300 -18.963635689644181781 -27075.998624569318054 8.5704953839329718335
2200 -18.974857045784936815 -25420.047934858390363 8.5123980938956140818
2100 -18.990222630297623141 -23265.229758516554284 8.5735669407953132293
2000 -19.005589461459049261 -23757.536653233841207 8.4835989739519543917
1900 -19.017737263630881017 -24951.233401485769718 8.4925381846418055432
1800 -19.034401293462785532 -25640.024647470640048 8.4681596395350844375
1700 -19.046386695115536725 -24488.623033562009368 8.4727142785534095282
1600 -19.060247169482458673 -26027.062184792543121 8.4532104738517688247
1500 -19.074476161095031301 -26895.385768134427053 8.4796040435775221766
1400 -19.08858571137621496 -26140.234298795123323 8.4585679608579216193
1300 -19.102217820519690861 -24893.238808522561158 8.4464174773459319567
1200 -19.114615088537085796 -26858.808373037325509 8.4510414719021351715
1100 -19.130096825175900932 -25597.765921559952403 8.4440049444274816182
1000 -19.141745657894716715 -26280.411443990429689 8.4473319608018329063
900 -19.156014109785648003 -23933.2091488073238 8.4517208930739080586
800 -19.168244214212272425 -27024.575410537763673 8.4187184443098281861
700 -19.182672857566807068 -26996.620463028950326 8.4407866249510412615
600 -19.195474036492129244 -27305.410466005319904 8.3805923834125337635
500 -19.20782654307232562 -25985.448231741418567 8.4351542221359654405
400 -19.221163974843040734 -26531.174394864116039 8.3964488274230433262
300 -19.233797089638493105 -26812.35754349902345 8.4078192478853601699
