# T_set(K)  epa(eV/atom)  Press(bar)  MSD(A^2)
4000 -18.679512314687077179 -26241.642610549057281 8.2174721099536469637
3900 -18.693178981238478542 -24883.361193169759645 9.5630339294759991731
3800 -18.718610362302158023 -24638.907812433419167 10.972391855713208741
3700 -18.74084566995061607 -24968.959522556200682 11.850191425968732872
3600 -18.766365235369242725 -24117.47844630284817 12.44903185800228762
3500 -18.79023343923443079 -24404.641237329262367 12.786905235430756633
3400 -18.800958185602237194 -24902.810346721773385 13.145046775850323328
3300 -18.825833646861891424 -22493.730533643942181 13.442023566044916549
3200 -18.843161604965398936 -23304.306996420189535 13.574607818468967579
3100 -18.857984816359447677 -22453.689216492461128 13.711989933565753574
3000 -18.874318960738929007 -22534.642219880013727 13.695134582382570088
2900 -18.892137605357369523 -20567.708798001316609 13.740495283080072397
2800 -18.906612026378073921 -20306.235077121200447 13.742041098413460887
2700 -18.925879308286713609 -18261.046880406051059 13.742758611132380508
2600 -18.939881619854229911 -20013.564506045415328 13.717992803919610623
2500 -18.956368520547101753 -20359.326107807926746 13.784799261337216336
2400 -18.969184102959321336 -20817.656788683583727 13.818412812053649574
2300 -18.984472220715655766 -20406.369499050157174 13.868327746409596202
2200 -18.998530232481027014 -20273.547336309944512 13.804314780651727901
2100 -19.011477624135537212 -20911.589623922693136 13.806982205392825946
2000 -19.027500650430560825 -20525.408039070727682 13.843879078763798418
1900 -19.041179466809985854 -21134.902010356108804 13.821595134690774387
1800 -19.055416683968307012 -20216.465155749916448 13.829058602379429743
1700 -19.069097355352372603 -19742.558916620764649 13.861210152971704446
1600 -19.084429779064812749 -20522.714584862402262 13.835781979618648307
1500 -19.096341569525172588 -20789.379089875787031 13.819076784268279567
1400 -19.111495743795515523 -21346.69651321670608 13.806254493932634375
1300 -19.125386908995253066 -21034.337112159570097 13.814816645152573571
1200 -19.138322445492597979 -21253.369001165629015 13.789491432783286484
1100 -19.151256646389700933 -21407.358145272170077 13.796696158475395322
1000 -19.166296408678491048 -21873.362023662804859 13.794688885864346162
900 -19.179273651348911045 -21834.378853862526739 13.785444915602635518
800 -19.192155944206874096 -22232.762424726133759 13.785939358739542016
700 -19.205668066569142383 -21866.054737383114116 13.771415205443815921
600 -19.218866678562047667 -22317.691780184228264 13.778081845341125344
500 -19.231826233110631108 -22263.962841799278976 13.773864382883573398
400 -19.24504207217202989 -22534.918952889991488 13.761704766506163367
300 -19.258243056275322402 -22711.797775850234757 13.759507880332044749
