# T_set(K)  epa(eV/atom)  Press(bar)  MSD(A^2)
4000 -18.682845160577045363 -25133.546858712245012 10.64836400695150509
3900 -18.699638235858365931 -23966.514461448768998 15.863182125184820848
3800 -18.708726314412132297 -24787.510492684690689 20.289672100843784364
3700 -18.740848011378030691 -26825.707615383733355 23.801486817870149082
3600 -18.761453463375310946 -26271.948084338207991 26.484534069159870739
3500 -18.782328881741854332 -25322.208953564502735 27.933876298605810007
3400 -18.807730839639788201 -24806.363133013430343 28.752088578122883433
3300 -18.830419644505283827 -21595.304304866007442 29.410811189494456386
3200 -18.852737443978387688 -23423.759938684892404 29.95821760766502706
3100 -18.868172064026374812 -24839.083218110703456 29.99402760019071934
3000 -18.886790947723287815 -26181.72634968629427 30.144856387763606875
2900 -18.902433465548515557 -24770.456480666973221 30.176010798271221347
2800 -18.920110857005866478 -25608.770399886769155 30.283221003744476008
2700 -18.934645416530788253 -23912.363155742619711 30.361590709118395637
2600 -18.94938947689258768 -23530.258028278170968 30.289066656534238575
2500 -18.964333718849946564 -23978.925566785183037 30.265060626334221894
2400 -18.978960887734839247 -24647.865459287699196 30.263143843012620948
2300 -18.993259083899339146 -24473.320825447943207 30.204439099895658671
2200 -19.009329934264187045 -25679.289218588975928 30.260380053125540911
2100 -19.022082006157319256 -25090.220838150340569 30.230449640675697509
2000 -19.035980514298358912 -25508.481919305195333 30.266715435025545844
1900 -19.049998171295463578 -25847.113061085361551 30.258109154254075435
1800 -19.064297957374982673 -25544.594952810792165 30.250433216443774143
1700 -19.077728936789398517 -24952.585243315654225 30.200372460692278764
1600 -19.091507158577261549 -25573.535063615639956 30.182241646125994805
1500 -19.107043160035431129 -26375.570093324451591 30.178885195315675816
1400 -19.1201061724820498 -26444.855529463664425 30.167587303079894667
1300 -19.134091282236411757 -26743.393868605820899 30.148040329957876082
1200 -19.147727442753829763 -26971.708970090727234 30.140872875470890335
1100 -19.161090692495672982 -26912.468253597213334 30.161802508494623964
1000 -19.174422120131495717 -26991.798628274264047 30.154074977155605808
900 -19.187911783714262981 -27248.527546865021577 30.143571999288393926
800 -19.201497717374230945 -27374.744130770588527 30.136198404271866025
700 -19.21480053881530381 -27488.988586251925881 30.131980309671593687
600 -19.227814238675289715 -27720.616700483391469 30.124340529719951576
500 -19.24117697010346717 -27712.534949664139276 30.116241593791571063
400 -19.254123046251581997 -27693.265185649284831 30.105960833819832345
300 -19.267467290213904363 -27883.249136633578019 30.099960667787435398
